Wavelength Field x y rms
1.5000 1.0000 -18.0017 39.4695 0.0116
1.5000 2.0000 -8.9976 39.4477 0.0092
1.5000 3.0000 -0.0000 39.4404 0.0085
1.5000 4.0000 8.9976 39.4477 0.0092
1.5000 5.0000 18.0017 39.4695 0.0116
1.5010 1.0000 -18.0011 38.9603 0.0112
1.5010 2.0000 -8.9973 38.9386 0.0089
1.5010 3.0000 -0.0000 38.9314 0.0081
1.5010 4.0000 8.9973 38.9386 0.0089
1.5010 5.0000 18.0011 38.9603 0.0112
1.5020 1.0000 -18.0005 38.4503 0.0108
1.5020 2.0000 -8.9970 38.4288 0.0085
1.5020 3.0000 -0.0000 38.4216 0.0078
1.5020 4.0000 8.9970 38.4288 0.0085
1.5020 5.0000 18.0005 38.4503 0.0108
1.5030 1.0000 -18.0000 37.9396 0.0104
1.5030 2.0000 -8.9967 37.9182 0.0082
1.5030 3.0000 -0.0000 37.9111 0.0074
1.5030 4.0000 8.9967 37.9182 0.0082
1.5030 5.0000 18.0000 37.9396 0.0104
1.5040 1.0000 -17.9994 37.4281 0.0101
1.5040 2.0000 -8.9965 37.4069 0.0078
1.5040 3.0000 -0.0000 37.3998 0.0071
1.5040 4.0000 8.9965 37.4069 0.0078
1.5040 5.0000 17.9994 37.4281 0.0101
1.5050 1.0000 -17.9989 36.9159 0.0098
1.5050 2.0000 -8.9962 36.8948 0.0075
1.5050 3.0000 -0.0000 36.8877 0.0068
1.5050 4.0000 8.9962 36.8948 0.0075
1.5050 5.0000 17.9989 36.9159 0.0098
1.5060 1.0000 -17.9984 36.4029 0.0094
1.5060 2.0000 -8.9960 36.3820 0.0072
1.5060 3.0000 -0.0000 36.3749 0.0065
1.5060 4.0000 8.9960 36.3820 0.0072
1.5060 5.0000 17.9984 36.4029 0.0094
1.5070 1.0000 -17.9979 35.8892 0.0091
1.5070 2.0000 -8.9957 35.8684 0.0069
1.5070 3.0000 -0.0000 35.8614 0.0062
1.5070 4.0000 8.9957 35.8684 0.0069
1.5070 5.0000 17.9979 35.8892 0.0091
1.5080 1.0000 -17.9974 35.3747 0.0088
1.5080 2.0000 -8.9955 35.3540 0.0067
1.5080 3.0000 -0.0000 35.3470 0.0060
1.5080 4.0000 8.9955 35.3540 0.0067
1.5080 5.0000 17.9974 35.3747 0.0088
1.5090 1.0000 -17.9969 34.8594 0.0085
1.5090 2.0000 -8.9952 34.8388 0.0064
1.5090 3.0000 -0.0000 34.8319 0.0057
1.5090 4.0000 8.9952 34.8388 0.0064
1.5090 5.0000 17.9969 34.8594 0.0085
1.5100 1.0000 -17.9964 34.3433 0.0083
1.5100 2.0000 -8.9950 34.3229 0.0062
1.5100 3.0000 -0.0000 34.3160 0.0055
1.5100 4.0000 8.9950 34.3229 0.0062
1.5100 5.0000 17.9964 34.3433 0.0083
1.5110 1.0000 -17.9959 33.8265 0.0080
1.5110 2.0000 -8.9948 33.8062 0.0059
1.5110 3.0000 -0.0000 33.7994 0.0053
1.5110 4.0000 8.9948 33.8062 0.0059
1.5110 5.0000 17.9959 33.8265 0.0080
1.5120 1.0000 -17.9955 33.3089 0.0078
1.5120 2.0000 -8.9945 33.2887 0.0057
1.5120 3.0000 -0.0000 33.2819 0.0051
1.5120 4.0000 8.9945 33.2887 0.0057
1.5120 5.0000 17.9955 33.3089 0.0078
1.5130 1.0000 -17.9950 32.7904 0.0075
1.5130 2.0000 -8.9943 32.7704 0.0056
1.5130 3.0000 -0.0000 32.7637 0.0050
1.5130 4.0000 8.9943 32.7704 0.0056
1.5130 5.0000 17.9950 32.7904 0.0075
1.5140 1.0000 -17.9946 32.2712 0.0073
1.5140 2.0000 -8.9941 32.2513 0.0054
1.5140 3.0000 -0.0000 32.2446 0.0048
1.5140 4.0000 8.9941 32.2513 0.0054
1.5140 5.0000 17.9946 32.2712 0.0073
1.5150 1.0000 -17.9941 31.7512 0.0071
1.5150 2.0000 -8.9939 31.7314 0.0052
1.5150 3.0000 -0.0000 31.7248 0.0047
1.5150 4.0000 8.9939 31.7314 0.0052
1.5150 5.0000 17.9941 31.7512 0.0071
1.5160 1.0000 -17.9937 31.2304 0.0069
1.5160 2.0000 -8.9937 31.2107 0.0051
1.5160 3.0000 -0.0000 31.2041 0.0046
1.5160 4.0000 8.9937 31.2107 0.0051
1.5160 5.0000 17.9937 31.2304 0.0069
1.5170 1.0000 -17.9933 30.7087 0.0067
1.5170 2.0000 -8.9935 30.6892 0.0050
1.5170 3.0000 -0.0000 30.6827 0.0045
1.5170 4.0000 8.9935 30.6892 0.0050
1.5170 5.0000 17.9933 30.7087 0.0067
1.5180 1.0000 -17.9929 30.1863 0.0065
1.5180 2.0000 -8.9933 30.1669 0.0049
1.5180 3.0000 -0.0000 30.1604 0.0045
1.5180 4.0000 8.9933 30.1669 0.0049
1.5180 5.0000 17.9929 30.1863 0.0065
1.5190 1.0000 -17.9925 29.6630 0.0064
1.5190 2.0000 -8.9931 29.6438 0.0048
1.5190 3.0000 -0.0000 29.6373 0.0044
